Nom de l'offre touristique;Type de l'offre;Type habitation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'acces/Nom/distance;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;Code Embed pour intégrer une video;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Confort immobillier;Confort mobillier;Labels;Classement dans un label;Catégorie de la fête ou manifestation;Nombre chambres;Nombre chambres pour accès à mobilité réduite;Nombre total d'hébergements / logements;Nombre personnes;Surface en M2;Services proposés sur place;Langues parlées à l'accueil;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Coordonnées centrale de réservation;Nom agence/nom contact/Téléphone/E-mail/URL resa/URL dispo/;Tarif(s);Modes de paiement acceptés;localisation;departement
MAISON 5 PERSONNES - MME LEVAVASSEUR ET M. FOUSERT;Meublés;Maison;;;11 avenue Sainte-Marie;;44420;LA TURBALLE;;44211;47.35218;-2.51727;;;06 51 12 10 08;;;;;;;;;;;;;;"Jardin indépendant;Local vélo;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Micro ondes;;;Non classé;2;;;6;93;Location de draps;"Anglais;Néerlandais";;02/04/2022||09/07/2022||arrivée 16H pouvant être modifié, départ vers 10H le matin. Location possible à partir du dimanche, uniquement à la semaine ou plus.||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||,20/08/2022||30/10/2021||horaires de départ et d'arrivée modifiables. Arrivée possible le dimanche. Location uniquement à la semaine ou plus.||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||||16:00||10:00||||;;;;;Semaine (meublé)||500,00||500,00||;"Chèques bancaires et postaux;Espèces;Virement";47.35218,-2.51727;Loire-Atlantique
GÎTE DE KERMOURAUD;Meublés;Maison;;;116 Kermouraud;;44410;SAINT-LYPHARD;;44175;47.37134;-2.35556;;;06 76 88 35 16;;;;;;;;;;;;;;Terrasse / Balcon;;;;Non classé;3;;;7;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.37134,-2.35556;Loire-Atlantique
LE PETIT GÎTE - 2 PERSONNES;Meublés;Maison;;;12 Route de l'Estran;Pen Bé;44410;ASSERAC;;44006;47.42599;-2.45477;;06 07 50 43 84;;;;;;;;;oui;;;;;;"Parking;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Micro ondes;;;En cours de classement;1;;;2;38;Location de draps;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.42599,-2.45477;Loire-Atlantique
LE GÎTE CAMPAGNE - 3 À 5 PERSONNES;Meublés;Maison;;;12 Route de L'Estran;Pen Bé;44410;ASSERAC;;44006;47.42602;-2.45476;;06 07 50 43 84;;;;;;;;;oui;;;;;;"Parking;Terrasse / Balcon";Cheminée,Equipement bébé,Lave linge,Micro ondes;;;;2;;;5;;Location de draps;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.42602,-2.45476;Loire-Atlantique
APPARTEMENT 4 PERS M. GAULTIER;Meublés;Appartement;;;14 avenue Paul Gauguin;;44350;GUERANDE;;44069;47.28608;-2.40819;;;06 33 40 29 54;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;47.28608,-2.40819;Loire-Atlantique
GÎTE LA POTERIE;Meublés;;;;15 bis Rue de la Poterie;;44110;CHATEAUBRIANT;;44036;47.7237442;-1.3803218;;06 89 62 69 37;;;;;;;;;;;;non;;;;;;;;;;1;6;;;;;;;;;;Semaine (meublé)||500,00||||,Nuitée (meublé)||80,00||90,00||;;47.7237442,-1.3803218;Loire-Atlantique
MAISON 2 PERSONNES - MME DESBOIS;Meublés;Maison;;;17 ter rue de Grain;;44420;PIRIAC-SUR-MER;;44125;47.38043;-2.5425;;06 87 32 24 66;02 40 24 82 30;;;;;;;;non;;;;;;"Local vélo;Parking;Plain Pied;Terrain clos";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;1;;;2;45;;;;01/02/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||350,00||450,00||;"Chèques bancaires et postaux;Espèces";47.38043,-2.5425;Loire-Atlantique
LA TETE SUR L'OREILLER;Chambres d'hôtes;;;;17bis avenue du Général De Gaulle;;44600;SAINT-NAZAIRE;;44184;47.27388;-2.2112087;;06 59 51 83 45;;;;;;;;;oui;sur demande;;non;;WiFi;"Jardin indépendant;Parking;Terrasse / Balcon";Cheminée,Equipement bébé,Micro ondes;;;;5;;;12;44;Fourniture de draps (gratuit),Location de linge;"Anglais;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||60,00||70,00||Tarifs modulables selon le nombre de nuitées;petit déjeuner inclus";"Chèques bancaires et postaux;Espèces;Virement";47.27388,-2.2112087;Loire-Atlantique
LES ECUREUILS;Chambres d'hôtes;Maison;;;18 Avenue d'Anjou;;44250;SAINT-BREVIN-LES-PINS;;44154;47.23177;-2.17323;;06 74 40 54 20;;;;;;;;;;;;non;;Piscine;Parking;;;;;1;;;2;;;;;27/02/2021||31/08/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Cadot||06 74 40 54 20||danielle.cadot-halopeau@wanadoo.fr;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||80,00||80,00||;Espèces;47.23177,-2.17323;Loire-Atlantique
CHAMBRES D'HOTES HEDGE VIEW HOUSE;Chambres d'hôtes;;;;18 rue de Tugny;;44110;CHATEAUBRIANT;;44036;47.7018555;-1.378394;;;02 40 55 43 73;;;;;;;;non;;;non;;Piscine,Piscine couverte,WiFi;;;;;;2;;;4;;Tables d'hôtes;Anglais;non;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||60,00||90,00||;;47.7018555,-1.378394;Loire-Atlantique
APPARTEMENT - 2 PERSONNES ***  - MATTIOLI FRÉDÉRIQUE;Meublés;Appartement;;;2 avenue Langlois;Le Concorde;44380;PORNICHET;;44132;47.26834;-2.34842;;06 83 58 06 86;;;;;;;;;non;;;;;WiFi;;Lave linge,Micro ondes;;;3 étoiles;;;;2;28;;Anglais;;01/01/2022||31/12/2022||Toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||||||;Virement;47.26834,-2.34842;Loire-Atlantique
CHAMBRES D'HOTES LA MÉRAIS;Chambres d'hôtes;Maison;;;2 La Mérais;;44170;MARSAC-SUR-DON;;44091;47.585112;-1.6880189;;06 86 45 09 43;02 40 51 20 56;;;;;;;;non;;;non;;WiFi;;;;;;3;;;10;;;"Anglais;Espagnol;Français";non;;OLIVIER KLOSE||02 40 51 20 56||lou.klose@orange.fr,||06 86 45 09 43||;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||65,00||||;Chèques bancaires et postaux;47.585112,-1.6880189;Loire-Atlantique
GÎTE LA BARONNAIS;Meublés;Maison;;;2 Lieu-dit La Baronnais;;44360;SAINT-ETIENNE-DE-MONTLUC;;44158;47.297481;-1.773578;;06 77 91 73 01;;;;https://gitebaronnais.wixsite.com/baronnais;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Terrasse / Balcon";Lave linge,Lave vaisselle,Micro ondes;;;;3;;1;8;;Location de draps,Location de linge;;;;||06 77 91 73 01||,||06 28 15 89 95||;;;;Semaine (meublé)||890,00||||,Nuitée (meublé)||70,00||||La nuitée par chambre;;47.297481,-1.773578;Loire-Atlantique
CHAMBRES D'HÔTES LE MAS MILOD;Chambres d'hôtes;Maison;;;2 Lieu-dit La Bernardière;;44650;LEGE;;44081;46.90388;-1.58238;;;;;;;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Micro ondes;;;Non classé;2;0;1;4;;Fourniture de draps (gratuit);"Anglais;Espagnol;Français";oui;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||62,00||68,00||,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||54,00||60,00||,Semaine (meublé)||||||Tarif longue durée possible, consulter le propriétaire;"Chèques bancaires et postaux;Espèces";46.90388,-1.58238;Loire-Atlantique
GITE CHEZ MILIE;Meublés;;;;2 Rue du Bois du Collège;;44190;CLISSON;;44043;47.10871;-1.24367;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;47.10871,-1.24367;Loire-Atlantique
APPARTEMENT 4 PERSONNES - M.LESOUÈVE;Meublés;;;;2 rue Jules Ferry;"Résidence ""Glad Héol""";44420;LA TURBALLE;;44211;47.34589;-2.50734;;06 28 63 00 74;02 43 88 53 20;;;;;;;;non;;;;;;"Garage;Local vélo;Parking;Toilettes séparées";Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;1;;;4;41;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||350,00||350,00||;"Chèques bancaires et postaux;Espèces";47.34589,-2.50734;Loire-Atlantique
MAISON 4 PERSONNES - MME LE FUR;Meublés;Maison;;;21, impasse Garenne du Gouverneur;;44490;LE CROISIC;;44049;47.28926;-2.52831;;;02 96 29 39 17;;;;;;;;;;;;;;Jardin indépendant;Lave linge,Lave vaisselle;;;2 étoiles;2;;;4;;;;;;;;;;;;47.28926,-2.52831;Loire-Atlantique
APPARTEMENT 2/3 PERSONNES - MME BOURSE;Meublés;Appartement;;;23 rue du Meny;;44350;GUERANDE;;44069;47.33153;-2.42167;;06 02 27 40 64;02 40 24 80 41;;;;;;;;non;;;;;;"Jardin indépendant;Local vélo;Parking;Terrain clos";Equipement bébé,Lave linge,Micro ondes;;;2 étoiles;1;;;3;35;;;;01/03/2022||30/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||300,00||480,00||;"Chèques bancaires et postaux;Espèces";47.33153,-2.42167;Loire-Atlantique
CHAMBRES D'HÔTES LE CHÊNE CREUX;Chambres d'hôtes;Maison;;;2441 Route de St Mars;Le Chêne Creux;44240;SUCE-SUR-ERDRE;;44201;47.3361043;-1.4942136;;;02 40 29 44 95;;;http://www.hebergement-le-chene-creux.fr/;;;;;non;;;non;;Espace bien-être,Parc/jardin,Plan d'eau,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Toilettes séparées";Cheminée,Lave linge,Lave vaisselle,Micro ondes;;;Non classé;2;;1;4;120;Location de draps;;oui;;THOMAS Christian||02 40 29 44 95||chrisdomtom@orange.fr;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||106,00||||,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||96,00||||Sans le petit déjeuner;Chèques bancaires et postaux;47.3361043,-1.4942136;Loire-Atlantique
MAISON 10 PERSONNES - GÎTE DES ARCADES;Meublés;Maison;;;27 La ferme école;;44530;SAINT-GILDAS-DES-BOIS;;44161;47.48682;-2.04808;;;07 71 59 80 08;;;;;;;;oui;;;;;;"Local vélo;Parking;Plain Pied;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;;4;;;10;150;Location de draps,Location de linge;;;;;;;;Semaine (meublé)||700,00||950,00||;;47.48682,-2.04808;Loire-Atlantique
MAISON 9 PERSONNES - M. NEUVEGLISE;Meublés;Maison;;;279 rue de Kerro;;44420;MESQUER;;44097;47.39417;-2.49633;;06 31 82 62 95;02 40 42 59 35;;;;;;;;oui;;;;;;"Jardin indépendant;Local vélo;Parking;Plain Pied;Terrain clos;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;5;;;9;133;Location de draps,Location de linge;Anglais;;26/02/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||450,00||800,00||,Week-end (meublé)||160,00||250,00||;"Chèques bancaires et postaux;Virement";47.39417,-2.49633;Loire-Atlantique
GÎTE TERRASSE;Meublés;;;;29 Rue de Nantes;;44860;PONT-SAINT-MARTIN;;44130;47.12503;-1.58333;;;06 16 61 05 41;;;http//www.gitesnantesgrandlieu.fr;;;;;oui;;;non;;WiFi;;;;;Non classé;3;;1;6;;;;;;;;;;;;47.12503,-1.58333;Loire-Atlantique
GITE DE LA CHARMELIERE - LE CÔTÉ JARDIN - ZEN ET CHAMPETRE;Meublés;Maison;;;3 impasse de la Charmelière;;44470;CARQUEFOU;;44026;47.2992588;-1.4756171;;06 80 24 78 37;;;;www.gites-charmeliere-44.fr;;;;;oui;chien petite taille - avec accord du propriétaire -  supplément;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;Qualité Tourisme;;4 étoiles;1;1;1;2;45;Location de draps,Location de linge,Option nettoyage;;oui;;;;;;"Semaine (meublé)||||||Location minimum 2 nuits ;semaine : 450 €/550 € pour 1/2 personnes ;  ;mois pour 2 personnes : 950 € - charges et internet haut débit compris.(petit chien 20 €);Ménage de fin de court séjour 30 €-  fin de long séjour 60 €; ,Week-end (meublé)||||||Location minimum 2 nuits ;semaine : 450 €/550 € pour 1/2 personnes ;  ;mois pour 2 personnes : 950 € - charges et internet haut débit compris.(petit chien 20 €);Ménage de fin de court séjour 30 €-  fin de long séjour 60 €; ,Mid-week (meublés)||||||Location minimum 2 nuits ;semaine : 450 €/550 € pour 1/2 personnes ;  ;mois pour 2 personnes : 950 € - charges et internet haut débit compris.(petit chien 20 €);Ménage de fin de court séjour 30 €-  fin de long séjour 60 €; ,Taxe de séjour / nuit / pers||||||Location minimum 2 nuits ;semaine : 450 €/550 € pour 1/2 personnes ;  ;mois pour 2 personnes : 950 € - charges et internet haut débit compris.(petit chien 20 €);Ménage de fin de court séjour 30 €-  fin de long séjour 60 €;";Chèques bancaires et postaux;47.2992588,-1.4756171;Loire-Atlantique
LA ROULOTTE DU CHAMP D'OR;Hébergement insolite;Roulotte;;;3 route de la Villès Rouaud;Le Champ d'or;44117;SAINT-ANDRE-DES-EAUX;;44151;47.3205159;-2.2663389;;06 89 89 61 50;02 40 91 54 32;;;http://www.lechamp-dor.fr/la_roulotte.html;;;;;oui;Animaux acceptés sous conditions;;non;;Parc/jardin,Piscine,Piscine couverte,WiFi;"Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon";Micro ondes;;2 clés (Clévacances);Non classé;0;0;2;2;8;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;"Anglais;Espagnol;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;JULIETTE||02 40 91 54 32||lechampdor@orange.fr;;;;;"Chèques bancaires et postaux;Espèces";47.3205159,-2.2663389;Loire-Atlantique
CHEZ MME ISTIN;Chambres d'hôtes;Maison;;;3 rue du Pré Nantais;;44490;LE CROISIC;;44049;47.28878;-2.51963;;06 68 29 98 78;02 40 23 08 51;;;http://www.abritel.fr;;;;;non;;;;;WiFi;;;;;;1;;;3;;Location/prêt de vélo;Anglais;oui;;;;;;;;47.28878,-2.51963;Loire-Atlantique
MAISON 4 PERSONNES - MME BÉZIAS;Meublés;Maison;;;30 Avenue Alphonse Daudet;;44420;PIRIAC-SUR-MER;;44125;47.37606;-2.54909;;06 70 51 92 83;02 40 70 39 39;;;;;;;;;;;non;;;"Plain Pied;Terrain clos";Lave linge,Micro ondes;;;Non classé;2;;;4;;;;;02/07/2022||03/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.37606,-2.54909;Loire-Atlantique
CHAUMIÈRE SECRET DES ROSEAUX;Meublés;Maison;;;350 Bréca;La Chaumière;44410;SAINT-LYPHARD;;44175;47.36157;-2.31589;;;06 23 96 38 94;;;;;;;;non;;;;;;"Jardin indépendant;Terrain clos";Cheminée,Equipement bébé;;;Non classé;2;;;4;70;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.36157,-2.31589;Loire-Atlantique
MAISON 4 PERSONNES - MME BATON;Meublés;Maison;;;36 rue des Albatros;;44420;LA TURBALLE;;44211;47.35793;-2.50804;;;06 35 42 05 52;;;;;;;;non;;;non;;;"Local vélo;Parking;Terrain clos;Toilettes séparées";Lave linge,Lave vaisselle,Micro ondes;;;;2;;;4;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||525,00||525,00||;"Chèques bancaires et postaux;Espèces;Virement";47.35793,-2.50804;Loire-Atlantique
CHAMBRES D'HOTES DU HARAS;Chambres d'hôtes;;;;360 Chemin du Haras;;44310;SAINT-PHILBERT-DE-GRAND-LIEU;;44188;47.05691;-1.61036;;;06 84 10 69 84;;;;;;;;;;;non;;Piscine,WiFi;;;;;;2;;1;4;;;;;;;;;;;;47.05691,-1.61036;Loire-Atlantique
MAISON 10 PERSONNES - M. LE FLOCH;Meublés;Maison;;;38 bis Avenue Alphonse Daudet;;44420;PIRIAC-SUR-MER;;44125;47.37562;-2.54992;;;06 23 57 00 77;;;;;;;;non;;;;;;"Local vélo;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;Non classé;4;;;10;122;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||700,00||1200,00||;Chèques bancaires et postaux;47.37562,-2.54992;Loire-Atlantique
CHAMBRE D'HÔTES LE ROSSIGNOL;Chambres d'hôtes;Maison;;;4 Impasse du Rossignol;;44360;SAINT-ETIENNE-DE-MONTLUC;;44158;47.2793961;-1.7782069;;;;;;https://www.chambres-hotes.fr/chambres-hotes_chambre-d-hotes-le-rossignol_saint-etienne-de-montluc_54854.htm;;;;;;;;non;;Parc/jardin,Piscine,WiFi;"Garage;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Micro ondes;;;;1;;1;2;31;Fourniture de draps (gratuit),Nettoyage (gratuit);"Anglais;Français";oui;;Françoise Jancou||0623585939||jancouft44@yahoo.com;;;;1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||||||60€ (si 4j),1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||||||66€ (si 4j);"Chèques bancaires et postaux;Espèces;Virement";47.2793961,-1.7782069;Loire-Atlantique
MAISON 6 PERSONNES - M GUENARD;Meublés;Maison;;;4, allée des Pins;;44420;PIRIAC-SUR-MER;;44125;47.37795;-2.53121;;06 18 02 80 34;02 99 98 90 93;;;;;;;;;;;;;;;;;;3 étoiles;;;;6;;;;;;;;;;;;47.37795,-2.53121;Loire-Atlantique
STUDIO SAINT-MARC;Meublés;Appartement;;;42 Rue du Commandant Charcot;SAINT-MARC-SUR-MER;44600;SAINT-NAZAIRE;;44184;47.2390812;-2.2810025;;;;;;;;;;;non;;;non;;;"Entrée indépendante;Local vélo;Sanitaires privés";Lave linge,Micro ondes;;;Non classé;1;;1;2;27;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Anglais;non;11/05/2022||29/08/2022||Location de Mai à Août||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Dubosc||06 13 74 31 31||sophie.dubosc@hotmail.fr;;;;;Cartes bancaires;47.2390812,-2.2810025;Loire-Atlantique
